score,market,code,name,buy_date,buy_close,change1,change5,ma20,ma_dist,ma_slope5,support_days,volume,vol_ratio,old_spike_date,old_spike_age_months,old_r1,old_r5,old_r20,old_peak,old_drawdown,latest_date,latest_close,latest_return_pct,max_high_date,max_high,max_rise_pct,min_low_date,min_low,max_drawdown_after_buy_pct,d1_date,d1_close,d1_return_pct,d3_date,d3_close,d3_return_pct,d5_date,d5_close,d5_return_pct,d10_date,d10_close,d10_return_pct
100,KOSPI,014530,극동유화,2026-09-03,3230.0,0.0,0.4665629860031162,3230.5,-0.015477480266212762,0.8979464355430622,2,1225226.0,9.476297191472906,2026-03-04,6.012320328542095,29.794149512459377,61.23822341857335,79.34131736526946,6470.0,50.0772797527048,2026-09-23,3270.0,1.238390092879249,2026-09-10,4000.0,23.839009287925705,2026-09-08,3210.0,-0.6191950464396245,2026-09-04,3245.0,0.4643962848297267,2026-09-08,3250.0,0.6191950464396356,2026-09-10,3415.0,5.727554179566563,2026-09-17,3390.0,4.9535603715170184
100,KOSDAQ,297090,씨에스베어링,2026-09-03,3925.0,-1.0088272383354302,-2.1197007481296715,3923.25,0.04460587523098525,2.9319165682802018,2,62779.0,0.802471108406907,2025-05-20,15.474332648870636,29.895366218236163,38.1558028616852,65.52380952380952,9260.0,57.61339092872571,2026-09-23,4510.0,14.904458598726112,2026-09-18,5050.0,28.6624203821656,2026-09-04,3930.0,0.1273885350318471,2026-09-04,4040.0,2.9299363057324834,2026-09-08,4060.0,3.439490445859872,2026-09-10,4430.0,12.866242038216559,2026-09-17,4800.0,22.292993630573243
100,KOSDAQ,373160,데이원컴퍼니,2026-09-03,3030.0,0.0,1.0000000000000009,3024.25,0.19012978424401972,1.1285738170874415,2,7200.0,1.286391938610518,2025-04-11,16.75564681724846,-1.2035010940919078,26.470588235294112,80.64516129032258,10640.0,71.52255639097744,2026-09-23,3160.0,4.290429042904287,2026-09-17,3510.0,15.841584158415834,2026-09-11,2945.0,-2.8052805280528004,2026-09-04,3000.0,-0.990099009900991,2026-09-08,3015.0,-0.4950495049504955,2026-09-10,2995.0,-1.1551155115511524,2026-09-17,3240.0,6.930693069306937
99,KOSDAQ,344860,이노진,2026-09-03,1341.0,-2.7556200145032683,4.439252336448596,1341.4,-0.029819591471602624,1.601969323991681,2,40682.0,0.33560482412342196,2025-12-17,8.542094455852157,29.896313364055295,31.180919139034312,50.33333333333334,2800.0,52.10714285714286,2026-09-23,1394.0,3.9522744220730877,2026-09-15,1796.0,33.92990305741983,2026-09-11,1315.0,-1.9388516032811332,2026-09-04,1381.0,2.982848620432521,2026-09-08,1370.0,2.162565249813575,2026-09-10,1403.0,4.623415361670391,2026-09-17,1470.0,9.619686800894844
99,KOSPI,000320,노루홀딩스,2026-09-03,16950.0,0.7130124777183555,-1.7960602549246807,16932.5,0.10335154289089488,2.680331099724076,2,5535.0,0.8423824126988959,2025-06-10,14.784394250513348,-0.9111617312072884,19.768722466960355,71.83288409703503,26700.0,36.51685393258427,2026-09-23,15830.0,-6.607669616519174,2026-09-04,17340.0,2.3008849557522026,2026-09-23,15640.0,-7.72861356932153,2026-09-04,17090.0,0.8259587020648995,2026-09-08,17120.0,1.0029498525073732,2026-09-10,16880.0,-0.41297935103244976,2026-09-17,16050.0,-5.309734513274334
98,KOSDAQ,306620,지아이에스,2026-09-03,1800.0,-1.4238773274917849,-7.024793388429751,1801.0,-0.05552470849528035,4.803747563211025,2,207495.0,0.4608992527699047,2026-02-24,6.275154004106776,6.260032102728741,32.931726907630534,64.37768240343347,3830.0,53.00261096605744,2026-09-23,2010.0,11.66666666666667,2026-09-18,2190.0,21.666666666666657,2026-09-10,1734.0,-3.6666666666666625,2026-09-04,1822.0,1.2222222222222134,2026-09-08,1767.0,-1.8333333333333313,2026-09-10,1825.0,1.388888888888884,2026-09-17,1910.0,6.111111111111112
98,KOSPI,009070,KCTC,2026-09-03,4015.0,-0.12437810945273853,-0.3722084367245637,4029.5,-0.3598461347561699,1.6716078975588244,2,92613.0,0.8658523872808619,2025-07-14,13.66735112936345,17.440000000000012,19.15584415584415,96.29171817058095,7940.0,49.433249370277075,2026-09-23,4005.0,-0.24906600249066102,2026-09-21,4275.0,6.475716064757164,2026-09-10,3925.0,-2.241594022415938,2026-09-04,4140.0,3.1133250311332406,2026-09-08,4050.0,0.8717310087173136,2026-09-10,3990.0,-0.6226650062266526,2026-09-17,3980.0,-0.8717310087173136
98,KOSPI,001460,BYC,2026-09-03,37550.0,-1.0540184453227908,-1.0540184453227908,37715.0,-0.437491714172078,3.371248458270526,2,2261.0,0.9844559585492229,2026-02-19,6.439425051334703,8.318264014466536,25.84033613445378,77.86069651741295,71500.0,47.48251748251748,2026-09-23,34950.0,-6.924101198402132,2026-09-14,38850.0,3.462050599201061,2026-09-23,34750.0,-7.456724367509981,2026-09-04,37700.0,0.3994673768308976,2026-09-08,36800.0,-1.9973368841544659,2026-09-10,38300.0,1.9973368841544659,2026-09-17,37250.0,-0.7989347536617841
97,KOSDAQ,131370,알서포트,2026-09-03,1516.0,-0.7853403141361293,1.6767270288396974,1516.65,-0.04285761381993547,0.5569368473396397,2,62482.0,0.6417645083129878,2025-04-08,16.854209445585216,22.118380062305288,21.928460342146195,52.32774674115457,4225.0,64.11834319526626,2026-09-23,1442.0,-4.881266490765168,2026-09-16,1543.0,1.7810026385224331,2026-09-23,1441.0,-4.947229551451182,2026-09-04,1517.0,0.06596306068602509,2026-09-08,1495.0,-1.385224274406327,2026-09-10,1489.0,-1.781002638522422,2026-09-17,1510.0,-0.395778364116095
97,KOSDAQ,089980,상아프론테크,2026-09-03,14570.0,-0.8843537414966018,-3.5099337748344395,14621.0,-0.3488133506600044,3.5958479470010962,2,14470.0,0.6853370086720943,2026-02-13,6.636550308008213,29.84384037015615,30.523255813953497,52.929155313351494,27350.0,46.727605118829985,2026-09-23,15330.0,5.216197666437883,2026-09-18,18640.0,27.9341111873713,2026-09-04,14360.0,-1.4413177762525708,2026-09-04,15020.0,3.0885380919698058,2026-09-08,14750.0,1.2354152367879179,2026-09-10,15250.0,4.667124227865482,2026-09-17,15020.0,3.0885380919698058
